Rank,Region Operation,State,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
56,Alaskan,Alaska,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2556191,2563524,-0.29%
119,Alaskan,Alaska,FAI,Fairbanks,Fairbanks International,P,S,543839,538881,0.92%
133,Alaskan,Alaska,JNU,Juneau,Juneau International,P,N,422266,420442,0.43%
202,Alaskan,Alaska,BET,Bethel,Bethel,P,N,146652,155791,-5.87%
210,Alaskan,Alaska,KTN,Ketchikan,Ketchikan International,P,N,131144,127881,2.55%
237,Alaskan,Alaska,ENA,Kenai,Kenai Municipal,P,N,92973,92485,0.53%
249,Alaskan,Alaska,SIT,Sitka,Sitka Rocky Gutierrez,P,N,83598,83404,0.23%
250,Alaskan,Alaska,ADQ,Kodiak,Kodiak,P,N,83577,79682,4.89%
260,Alaskan,Alaska,OTZ,Kotzebue,Ralph Wien Memorial,P,N,67951,64481,5.38%
263,Alaskan,Alaska,OME,Nome,Nome,P,N,61651,60655,1.64%
283,Alaskan,Alaska,HOM,Homer,Homer,P,N,46322,44117,5.00%
284,Alaskan,Alaska,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,45958,45300,1.45%
290,Alaskan,Alaska,SCC,Deadhorse,Deadhorse,P,N,41849,51205,-18.27%
304,Alaskan,Alaska,AKN,King Salmon,King Salmon,P,N,34800,36717,-5.22%
312,Alaskan,Alaska,DUT,Unalaska,Unalaska,P,N,30080,31055,-3.14%
316,Alaskan,Alaska,DLG,Dillingham,Dillingham,P,N,28895,33616,-14.04%
336,Alaskan,Alaska,PSG,Petersburg,Petersburg James A Johnson,P,N,22915,21896,4.65%
348,Alaskan,Alaska,LHD,Anchorage,Lake Hood,P,N,20689,23382,-11.52%
356,Alaskan,Alaska,MRI,Anchorage,Merrill Field,P,N,18298,19144,-4.42%
357,Alaskan,Alaska,CDV,Cordova,Merle K (Mudhole) Smith,P,N,18280,18649,-1.98%
367,Alaskan,Alaska,UNK,Unalakleet,Unalakleet,P,N,16111,16948,-4.94%
378,Alaskan,Alaska,WRG,Wrangell,Wrangell,P,N,13160,12569,4.70%
382,Alaskan,Alaska,ANI,Aniak,Aniak,P,N,12735,13688,-6.96%
386,Alaskan,Alaska,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,11528,12851,-10.29%
390,Alaskan,Alaska,VDZ,Valdez,Valdez Pioneer Field,P,N,11321,12631,-10.37%
396,Alaskan,Alaska,AKW,Klawock,Klawock,P,N,10923,10628,2.78%
398,Alaskan,Alaska,YAK,Yakutat,Yakutat,P,N,10886,10756,1.21%
287,Alaskan,Alaska,5KE,Ketchikan,Ketchikan Harbor,GA,None,42492,44372,-4.24%
389,Alaskan,Alaska,DGG,Red Dog Mine,Red Dog,GA,None,11350,10844,4.67%
404,Alaskan,Alaska,GAL,Galena,Edward G Pitka Sr,CS,None,9664,10532,-8.24%
409,Alaskan,Alaska,GST,Gustavus,Gustavus,CS,None,9061,11438,-20.78%
419,Alaskan,Alaska,ENM,Emmonak,Emmonak,CS,None,8004,8072,-0.84%
422,Alaskan,Alaska,HNS,Haines,Haines,CS,None,7864,8936,-12.00%
427,Alaskan,Alaska,SGY,Skagway,Skagway,CS,None,7380,8714,-15.31%
428,Alaskan,Alaska,CDB,Cold Bay,Cold Bay,CS,None,7338,7403,-0.88%
433,Alaskan,Alaska,HNH,Hoonah,Hoonah,CS,None,6820,8809,-22.58%
435,Alaskan,Alaska,FYU,Fort Yukon,Fort Yukon,CS,None,6799,6552,3.77%
440,Alaskan,Alaska,CXF,Coldfoot,Coldfoot,CS,None,6345,7203,-11.91%
445,Alaskan,Alaska,AQH,Quinhagak,Quinhagak,CS,None,6101,7012,-12.99%
449,Alaskan,Alaska,ILI,Iliamna,Iliamna,CS,None,5752,5835,-1.42%
454,Alaskan,Alaska,5Z9,Katmai National Park,Lake Brooks,GA,None,5677,6634,-14.43%
462,Alaskan,Alaska,WLK,Selawik,Selawik,CS,None,5260,5011,4.97%
463,Alaskan,Alaska,VAK,Chevak,Chevak,CS,None,5243,5654,-7.27%
464,Alaskan,Alaska,IIK,Kipnuk,Kipnuk,CS,None,5176,5747,-9.94%
468,Alaskan,Alaska,HPB,Hooper Bay,Hooper Bay,CS,None,5022,5635,-10.88%
470,Alaskan,Alaska,PHO,Point Hope,Point Hope,CS,None,4964,5338,-7.01%
477,Alaskan,Alaska,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,4777,5316,-10.14%
478,Alaskan,Alaska,WTK,Noatak,Noatak,CS,None,4716,4681,0.75%
481,Alaskan,Alaska,BVK,Buckland,Buckland,CS,None,4456,4198,6.15%
482,Alaskan,Alaska,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4444,4004,10.99%
486,Alaskan,Alaska,SOV,Seldovia,Seldovia,CS,None,4206,4133,1.77%
487,Alaskan,Alaska,SVA,Savoonga,Savoonga,CS,None,4188,4197,-0.21%
489,Alaskan,Alaska,EDF,Anchorage,Elmendorf AFB,GA,None,4128,3236,27.56%
490,Alaskan,Alaska,SCM,Scammon Bay,Scammon Bay,CS,None,4093,4513,-9.31%
491,Alaskan,Alaska,CFK,Chefornak,Chefornak,CS,None,4027,4456,-9.63%
493,Alaskan,Alaska,SDP,Sand Point,Sand Point,CS,None,3998,4146,-3.57%
499,Alaskan,Alaska,EIL,Fairbanks,Eielson AFB,GA,None,3864,1794,115.38%
500,Alaskan,Alaska,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3856,3522,9.48%
505,Alaskan,Alaska,AWI,Barrow (County),Wainwright,CS,None,3756,3932,-4.48%
508,Alaskan,Alaska,TPO,Port Alsworth,Port Alsworth,GA,None,3638,3884,-6.33%
509,Alaskan,Alaska,A61,Tuntutuliak,Tuntutuliak,CS,None,3614,3875,-6.74%
510,Alaskan,Alaska,2A9,Kotlik,Kotlik,CS,None,3612,3531,2.29%
512,Alaskan,Alaska,DUY,Kongiganak,Kongiganak,CS,None,3589,3978,-9.78%
515,Alaskan,Alaska,UUO,Willow,Willow,GA,None,3500,2000,75.00%
516,Alaskan,Alaska,GAM,Gambell,Gambell,CS,None,3493,3860,-9.51%
517,Alaskan,Alaska,IAN,Kiana,Bob Baker Memorial,CS,None,3485,3127,11.45%
519,Alaskan,Alaska,KVL,Kivalina,Kivalina,CS,None,3454,3421,0.96%
520,Alaskan,Alaska,SHH,Shishmaref,Shishmaref,CS,None,3360,3445,-2.47%
521,Alaskan,Alaska,0AK,Pilot Station,Pilot Station,CS,None,3353,4127,-18.75%
522,Alaskan,Alaska,GGV,Kwigillingok,Kwigillingok,CS,None,3341,3870,-13.67%
524,Alaskan,Alaska,MOU,Mountain Village,Mountain Village,CS,None,3263,4159,-21.54%
526,Alaskan,Alaska,BTI,Kaktovik,Barter Island,CS,None,3212,3136,2.42%
528,Alaskan,Alaska,16A,Nunapitchuk,Nunapitchuk,CS,None,3096,3628,-14.66%
529,Alaskan,Alaska,KAE,Kake,Kake,CS,None,3087,3227,-4.34%
530,Alaskan,Alaska,Z09,Kasigluk,Kasigluk,CS,None,3049,4190,-27.23%
534,Alaskan,Alaska,KWT,Kwethluk,Kwethluk,CS,None,2948,3706,-20.45%
536,Alaskan,Alaska,KLG,Kalskag,Kalskag,CS,None,2915,3142,-7.22%
537,Alaskan,Alaska,HLA,Huslia,Huslia,CS,None,2897,2728,6.20%
538,Alaskan,Alaska,EEK,Eek,Eek,CS,None,2839,3406,-16.65%
539,Alaskan,Alaska,2C7,Shaktoolik,Shaktoolik,CS,None,2779,2299,20.88%
541,Alaskan,Alaska,AUK,Alakanuk,Alakanuk,CS,None,2733,2854,-4.24%
544,Alaskan,Alaska,WBB,Stebbins,Stebbins,CS,None,2687,2571,4.51%
546,Alaskan,Alaska,2A3,Larsen Bay,Larsen Bay,CS,None,2651,2649,0.08%
547,Alaskan,Alaska,SMK,St. Michael (ANV/ANVSA),St Michael,CS,None,2641,2464,7.18%
548,Alaskan,Alaska,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,2633,2952,-10.81%
549,Alaskan,Alaska,EWU,Newtok,Newtok,CS,None,2602,2936,-11.38%
550,Alaskan,Alaska,SNP,Saint Paul Island,St Paul Island,CS,None,2595,2838,-8.56%
551,Alaskan,Alaska,6R7,Old Harbor,Old Harbor,CS,None,2586,1285,101.25%
553,Alaskan,Alaska,MCG,McGrath,McGrath,CS,None,2566,3236,-20.70%
554,Alaskan,Alaska,Z13,Akiachak,Akiachak,CS,None,2556,3045,-16.06%
555,Alaskan,Alaska,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2505,3194,-21.57%
557,Alaskan,Alaska,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,None,2455,2151,14.13%
558,Alaskan,Alaska,NUL,Nulato,Nulato,GA,None,2440,2694,-9.43%
560,Alaskan,Alaska,KTS,Brevig Mission,Brevig Mission,GA,None,2413,2301,4.87%
564,Alaskan,Alaska,AQT,Nuiqsut,Nuiqsut,GA,None,2362,2147,10.01%
565,Alaskan,Alaska,SHG,Shungnak,Shungnak,GA,None,2360,2217,6.45%
566,Alaskan,Alaska,KKA,Koyuk,Koyuk Alfred Adams,GA,None,2342,2440,-4.02%
567,Alaskan,Alaska,PGM,Port Graham,Port Graham,GA,None,2339,2010,16.37%
568,Alaskan,Alaska,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,None,2335,2215,5.42%
569,Alaskan,Alaska,ELI,Elim,Elim,GA,None,2313,2354,-1.74%
572,Alaskan,Alaska,TLT,Tuluksak,Tuluksak,GA,None,2237,2634,-15.07%
574,Alaskan,Alaska,MTM,Metlakatla,Metlakatla,GA,None,2201,2527,-12.90%
575,Alaskan,Alaska,KEB,English Bay,Nanwalek,GA,None,2190,1962,11.62%
576,Alaskan,Alaska,AFM,Ambler,Ambler,GA,None,2175,2095,3.82%
577,Alaskan,Alaska,RSH,Russian Mission,Russian Mission,GA,None,2132,2445,-12.80%
578,Alaskan,Alaska,AGN,Angoon,Angoon,GA,None,2107,2152,-2.09%
579,Alaskan,Alaska,GLV,Golovin,Golovin,GA,None,2029,1917,5.84%
580,Alaskan,Alaska,4A2,Atmautluak,Atmautluak,GA,None,2019,2706,-25.39%
581,Alaskan,Alaska,KTB,Thorne Bay,Thorne Bay,GA,None,2004,2351,-14.76%
582,Alaskan,Alaska,RBY,Ruby,Ruby,GA,None,1982,1751,13.19%
583,Alaskan,Alaska,AKI,Akiak,Akiak,GA,None,1966,2173,-9.53%
584,Alaskan,Alaska,CGA,Craig,Craig,GA,None,1928,2581,-25.30%
586,Alaskan,Alaska,VEE,Venetie,Venetie,GA,None,1887,2059,-8.35%
589,Alaskan,Alaska,PIZ,Point Lay,Point Lay LRRS,GA,None,1859,1774,4.79%
590,Alaskan,Alaska,BTT,Bettles,Bettles,GA,None,1835,1639,11.96%
591,Alaskan,Alaska,6A8,Allakaket,Allakaket,GA,None,1819,1827,-0.44%
592,Alaskan,Alaska,ARC,Arctic Village,Arctic Village,GA,None,1797,1885,-4.67%
595,Alaskan,Alaska,WMO,White Mountain,White Mountain,GA,None,1743,1636,6.54%
597,Alaskan,Alaska,IGT,Nightmute,Nightmute,GA,None,1732,1973,-12.21%
598,Alaskan,Alaska,4KA,Tununak,Tununak,GA,None,1704,2352,-27.55%
600,Alaskan,Alaska,ORI,Port Lions,Port Lions,GA,None,1678,1114,50.63%
601,Alaskan,Alaska,TYE,Tyonek,Tyonek,GA,None,1674,1745,-4.07%
602,Alaskan,Alaska,KAL,Kaltag,Kaltag,GA,None,1626,1420,14.51%
607,Alaskan,Alaska,DEE,Deering,Deering,GA,None,1536,1263,21.62%
608,Alaskan,Alaska,7AK,Akutan,Akutan,GA,None,1512,1636,-7.58%
609,Alaskan,Alaska,TER,Teller,Teller,GA,None,1499,1506,-0.46%
613,Alaskan,Alaska,4K5,Ouzinkie,Ouzinkie,GA,None,1432,922,55.31%
614,Alaskan,Alaska,KVC,King Cove,King Cove,GA,None,1432,1597,-10.33%
615,Alaskan,Alaska,MYU,Mekoryuk,Mekoryuk,GA,None,1425,1477,-3.52%
616,Alaskan,Alaska,KNW,Bristol Bay (Borough),New Stuyahok,GA,None,1412,927,52.32%
620,Alaskan,Alaska,LKK,Kulik Lake,Kulik Lake,GA,None,1393,1644,-15.27%
622,Alaskan,Alaska,HCA,Holy Cross,Holy Cross,GA,None,1371,1176,16.58%
624,Alaskan,Alaska,OBU,Kobuk,Kobuk,GA,None,1357,1180,15.00%
627,Alaskan,Alaska,KWF,Waterfall,Waterfall,GA,None,1299,1383,-6.07%
628,Alaskan,Alaska,IWK,Wales,Wales,GA,None,1298,1187,9.35%
629,Alaskan,Alaska,WNA,Napakiak,Napakiak,GA,None,1252,1612,-22.33%
631,Alaskan,Alaska,GNU,Goodnews Bay,Goodnews,GA,None,1219,1246,-2.17%
634,Alaskan,Alaska,HYL,Hollis,Clark Bay,GA,None,1203,1103,9.07%
635,Alaskan,Alaska,BLG,Beluga,Beluga,GA,None,1202,1231,-2.36%
636,Alaskan,Alaska,PEC,Pelican,Pelican,GA,None,1185,1084,9.32%
638,Alaskan,Alaska,5NN,Nondalton,Nondalton,GA,None,1157,1468,-21.19%
640,Alaskan,Alaska,HUS,Hughes,Hughes,GA,None,1087,1101,-1.27%
641,Alaskan,Alaska,SXP,Sheldon Point,Nunam Iqua,GA,None,1064,1286,-17.26%
642,Alaskan,Alaska,63A,Petersburg,Lloyd R Roundtree Seaplane Facility,GA,None,1047,900,16.33%
644,Alaskan,Alaska,9K2,Kokhanok,Kokhanok,GA,None,1029,884,16.40%
645,Alaskan,Alaska,PKA,Napaskiak,Napaskiak,GA,None,1023,1884,-45.70%
649,Alaskan,Alaska,AKK,Akhiok,Akhiok,GA,None,997,399,149.87%
656,Alaskan,Alaska,EII,Egegik,Egegik,GA,None,917,974,-5.85%
659,Alaskan,Alaska,TOG,Aniak (Census Subarea),Togiak,GA,None,886,1324,-33.08%
662,Alaskan,Alaska,KYU,Koyukuk,Koyukuk,GA,None,870,933,-6.75%
